Review ID,Product Id,User Id,Summary,Text,Product Score
20983,B002QWP89S,A21U4DR8M6I9QN,addictive! but works for night coughing in dogs,"my 12 year old sheltie has chronic brochotitis, been on meds for three years, these help with the coughing fits at night. so I like them!!!<br /> one bite and both my dogs are addicted!!! be warned!!! 7 pm both shelties are on my lap howling for the drug fix! I am a dog trainer and have never seen  anything like it....<br /><br />three weeks later,, the beloved sheltie got a bowel blockage from these, use with caution.<br />if the cat gets too many she has the runs....<br />sheltie did better when i upped her thryoid meds, and gave her doggie asthma meds.<br />so it worked better for the 18 year old cat, who also has asthma.",5
20984,B002QWP89S,A17TDUBB4Z1PEC,genuine Greenies best price,"These are genuine Greenies product, not a knockoff.  My dogs love them!  It is their favorite treat.  I have 2 small dogs, both under 10 lbs. and the Teenie size is perfect for them.  I paid $22.37 for this 96-pack and it is by far the best price I have found anywhere.  I wish these were part of the Subscribe & Save program.",5
20985,B002QWP89S,ABQH3WAWMSMBH,Perfect for our little doggies,"Our dogs love Greenies, but of course, which doggies don't?  I bought this for my dashchund and minpin, and it's perfect!  A great price for a great product.  Who could ask for more.",5
20986,B002QWP89S,AVTY5M74VA1BJ,dogs love greenies,"What can I say, dogs love greenies. They begg for them all the time. They always sit by the cupboard and ask for more.",5
20987,B002QWP89S,A13TNN54ZEAUB1,Greenies review,This review is for a box of Greenies Lite for my dog. The package came quickly and was packaged appropriately. I was very satisfied with this purchase and with the seller.,5
20988,B002QWP89S,A1AO8A38JUDVAF,Magic Breath Chews for your dog,I highly recommend these chews for your dog. They do exactly what they say that they will do; freshen your dog's breath!<br /><br />I found them to be significantly cheaper to buy them at Amazon compared to the chain pet stores; at least $10 cheaper as of Sept. 2011.<br /><br />I have read that some dogs do not chew them well enough and have choked. I have not had that happen to my dog but it is probably something you need to take into consideration.<br /><br />My advice is to buy a smaller bag at a pet store first and see if they work for your animal. Then come back and buy them here!,5
20989,B002QWP89S,AH261OMJCV5U8,Greenies for Seniors,I have always used Greenies for my dogs. THese for seniors are wonderful. I have an elderly bulldog with really bad breath. She used to swallow the original Greenies whole so I quit buying them for her. She actually does chew these and eat them and they make a big difference in how her breath smells. Great product and the price is better than I have seen it in some local pet stores.,5
20990,B002QWP89S,A3VVIU4JE56U4K,Kinda Pricy but good!,"If you've got hard chewers (like one of our dogs), these things won't really work for the 'brushing' aspect -- they're bussted up and swallowed pretty quickly. We have three Chihuahua mixes, and they dispatched these petite ones too quickly, so we get them the next size up (small, I think). But the product is good, and they really do help a bit with breath -- although the biggest bad-breath-maker is teeth that need brushing, and there is no substitute for real brushing/cleaning.  These are good as part of the process though. We have, and will continue to purchase this product.",5
20991,B002QWP89S,A3MWZ2E112KIY4,DOG LOVES THESE,"I tried Greenies on my dog about 8 years ago and he won't eat them.  So I tried dental rawhide chews which he chewed just fine.  My dog is now 13 years old and he started to swallow the dental rawhide whole and would choke on them.  I'm not sure because of his age that he tries to swallow them whole, but I'm sure it's not good for him.  I thought I would try the Greenies again because the reviews are good and they break into bits when chewed.  I order the large Greenies for him and he loves them.  I'm not sure if they changed the taste or what, but he chews them, and hopefully it will help maintain his teeth.",5
20992,B002QWP89S,A2PRQXWZRHTKE3,Great treat and good for dental health,"This is a fabulous treat for my little cavalier king charles. He looks forward to it after his daily dental cleaning. I cut each greenie into smaller pieces, because JB (for James Bond) has long ears and he chews on the smaller pieces without letting anything fall on the floor and sticking to his ears.",5
20993,B002QWP89S,A3TDMH1Z8CUBAF,My dogs love these chews!,"I am the lucky parent of three dogs. I alternate their teeth cleaning chews and they love the Greenies and the Checkups best. Thanks to Amazon, I don't have to pay for S&H, which living in Alaska, usually costs a fortune!! Thank you Amazon!! I prefer to purchase from our local pet store, but they aren't able to get the Greenies or the Checkups, so I'm very happy that I can order them through Amazon.",5
20994,B002QWP89S,A37565LZHTG1VH,Awesome!,This is a great product. My 2 year old Golden Retriever hates to have his teeth brushed and this product made his teeth white again. Great seller and great price too!,5
21000,B002QWP89S,A3NYAP2AZPWQJ5,My dog loves these,My dog loves greenies - she waits for them everyday!  We give her one regular sized one per day and the teenies as treats for going outside etc.  I have heard that these do not digest easily if your dog is not a chewer.  My dog is a chewer so it works out great.  She is addicted!,5
21001,B002QWP89S,A31H9N00DB65HO,Our dog loves her Greenies!,"Super fast shipping, even included a couple trial treats.  Our dog loves these and we'll be purchasing them again!",5
21002,B002QWP89S,A1LNPBV70N2T02,Good Deal for my Good Dog,My dog looks forward to a Greenie dessert everyday.  You will NOT find this deal at the local pet stores.  I love the fact that I get a good deal at Amazon.  I save time and gas.  My dog thanks us both.,5
21003,B002QWP89S,A2L28WZD5RW60T,Greenies,"Perform as promised.  No problems with ""blobs"" since my dog chews 'em up real well.",5
21004,B002QWP89S,ANOAFB0GOMU5C,My dogs love them!,"Great treat for all doggies, very healthy and they adore them.  Excellent and fast shipping,will buy again.",5
